Constituency Ainm,Year,Full Name,
Roscommon-Galway,2020,Michael Fitzmaurice,M
Roscommon-Galway,2020,Thomas P Fallon,M
Roscommon-Galway,2020,Paul Hanley,M
Roscommon-Galway,2020,James Hope,M
Roscommon-Galway,2020,Claire Kerrane,F
Roscommon-Galway,2020,Orla Leyden,F
Roscommon-Galway,2020,Eugene Murphy,M
Roscommon-Galway,2020,Denis Naughten,M
Roscommon-Galway,2020,Julie O'Donoghue,F
Roscommon-Galway,2020,Kenny Tynan,M
Sligo-Leitrim,2020,Declan Bree,M
Sligo-Leitrim,2020,James Conway,M
Sligo-Leitrim,2020,Nessa Cosgrove,F
Sligo-Leitrim,2020,Shane Ellis,M
Sligo-Leitrim,2020,Frankie Feighan,M
Sligo-Leitrim,2020,Blï¿½ithï¿½n Gallagher,F
Sligo-Leitrim,2020,Marian Harkin,F
Sligo-Leitrim,2020,Martin Kenny,M
Sligo-Leitrim,2020,Marc MacSharry,M
Sligo-Leitrim,2020,Anne McCloskey,F
Sligo-Leitrim,2020,Paul McWeeney,M
Sligo-Leitrim,2020,Gino O'Boyle,M
Sligo-Leitrim,2020,Mary O'Donnell,F
Sligo-Leitrim,2020,Oisin O'Dwyer,M
Sligo-Leitrim,2020,Bernie O'Hara,F
Sligo-Leitrim,2020,John Perry,M
Sligo-Leitrim,2020,Eamon Scanlon,M
Sligo-Leitrim,2020,Thomas Walsh,M
Sligo-Leitrim,2020,Sean Wynne,M
Tipperary,2020,GARRET AHEARN,M
Tipperary,2020,MARTIN BROWNE,M
Tipperary,2020,Dolores CAHILL,F
Tipperary,2020,JACKIE CAHILL,M
Tipperary,2020,SANDRA FARRELL,F
Tipperary,2020,IMELDA GOLDSBORO,F
Tipperary,2020,JOE HANNIIGAN,M
Tipperary,2020,SEAMUS HEALY,M
Tipperary,2020,ALAN KELLY,M
Tipperary,2020,MICHAEL LOWRY,M
Tipperary,2020,MATTIE MCGRATH,M
Tipperary,2020,"MARY NEWMAN JULIAN,",F
Tipperary,2020,ROB O'DONNELL,M
Tipperary,2020,MARESE SKEHAN,F
Waterford,2020,MARY BUTLER,F
Waterford,2020,DR RONAN CLEARY,M
Waterford,2020,DAVID CULLINANE,M
Waterford,2020,JOHN CUMMINS,M
Waterford,2020,UNA DUNPHY,F
Waterford,2020,DAMIEN GEOGHEGAN,M
Waterford,2020,EDDIE MULLIGAN,M
Waterford,2020,MARC O CATHASAIGH,M
Waterford,2020,BERNADETTE PHILLIPS,F
Waterford,2020,JOHN PRATT,M
Waterford,2020,MATT SHANAHAN,M
Wexford,2020,JAMES BROWNE,M
Wexford,2020,Malcolm Byrne,M
Wexford,2020,Ger Carthy,M
Wexford,2020,Jim Codd,M
Wexford,2020,Michael D'Arcy,M
Wexford,2020,Brendan Howlin,M
Wexford,2020,Paul Kehoe,M
Wexford,2020,Lisa McDonald,F
Wexford,2020,Bart James Murphy,M
Wexford,2020,Verona Murphy,F
Wexford,2020,Johnny Mythen,M
Wexford,2020,Seanie O'Shea,M
Wexford,2020,Paula Roseingrave,F
Wexford,2020,Michael Sheehan,M
Wexford,2020,Deirdre Wadding,F
Wicklow,2020,JOE BEHAN,M
Wicklow,2020,JOHN BRADY,M
Wicklow,2020,SHARON BRIGGS,F
Wicklow,2020,PAT CASEY,M
Wicklow,2020,SEAMUS CONNOR,M
Wicklow,2020,VALERIE COX,F
Wicklow,2020,STEPHEN DONNELLY,M
Wicklow,2020,ANDREW DOYLE,M
Wicklow,2020,TOM DUNNE,M
Wicklow,2020,ANTHONY FITZGERALD,M
Wicklow,2020,EILEEN GUNNING,F
Wicklow,2020,SIMON HARRIS,M
Wicklow,2020,CHARLIE KEDDY,M
Wicklow,2020,WILLIAM KING,M
Wicklow,2020,JOHN JOSEPH LARKIN,M
Wicklow,2020,STEVEN MATTHEWS,M
Wicklow,2020,PAUL O BRIEN,M
Wicklow,2020,JOHN SNELL,M
Wicklow,2020,BILLY TIMMINS,M
Wicklow,2020,JENNIEFER WHITMORE,F
Galway West,2016,Éamon  Ó Cuív,M
Louth,2016,Gerry Adams,M
Cork  East,2016,Barbara Ahern,F
Waterford,2016,Sheik Mohiuddin Ahmed,M
Dublin Mid-West,2016,Patrick Akpoveta,M
